,level1,level2,level3
0,Arts & Entertainment,Amphitheater,
1,Arts & Entertainment,Aquarium,
2,Arts & Entertainment,Arcade,
3,Arts & Entertainment,Art Gallery,
4,Arts & Entertainment,Bowling Alley,
5,Arts & Entertainment,Casino,
6,Arts & Entertainment,Circus,
7,Arts & Entertainment,Comedy Club,
8,Arts & Entertainment,Concert Hall,
9,Arts & Entertainment,Country Dance Club,
10,Arts & Entertainment,Disc Golf,
11,Arts & Entertainment,Exhibit,
12,Arts & Entertainment,General Entertainment,
13,Arts & Entertainment,Go Kart Track,
14,Arts & Entertainment,Historic Site,
15,Arts & Entertainment,Karaoke Box,
16,Arts & Entertainment,Laser Tag,
17,Arts & Entertainment,Memorial Site,
18,Arts & Entertainment,Mini Golf,
19,Arts & Entertainment,Movie Theater,Drive-in Theater
20,Arts & Entertainment,Movie Theater,Indie Movie Theater
21,Arts & Entertainment,Movie Theater,Multiplex
22,Arts & Entertainment,Museum,Art Museum
23,Arts & Entertainment,Museum,Erotic Museum
24,Arts & Entertainment,Museum,History Museum
25,Arts & Entertainment,Museum,Planetarium
26,Arts & Entertainment,Museum,Science Museum
27,Arts & Entertainment,Music Venue,Jazz Club
28,Arts & Entertainment,Music Venue,Piano Bar
29,Arts & Entertainment,Music Venue,Rock Club
30,Arts & Entertainment,Pachinko Parlor,
31,Arts & Entertainment,Performing Arts Venue,Dance Studio
32,Arts & Entertainment,Performing Arts Venue,Indie Theater
33,Arts & Entertainment,Performing Arts Venue,Opera House
34,Arts & Entertainment,Performing Arts Venue,Theater
35,Arts & Entertainment,Pool Hall,
36,Arts & Entertainment,Public Art,Outdoor Sculpture
37,Arts & Entertainment,Public Art,Street Art
38,Arts & Entertainment,Racecourse,
39,Arts & Entertainment,Racetrack,
40,Arts & Entertainment,Roller Rink,
41,Arts & Entertainment,Salsa Club,
42,Arts & Entertainment,Samba School,
43,Arts & Entertainment,Stadium,Baseball Stadium
44,Arts & Entertainment,Stadium,Basketball Stadium
45,Arts & Entertainment,Stadium,Cricket Ground
46,Arts & Entertainment,Stadium,Football Stadium
47,Arts & Entertainment,Stadium,Hockey Arena
48,Arts & Entertainment,Stadium,Rugby Stadium
49,Arts & Entertainment,Stadium,Soccer Stadium
50,Arts & Entertainment,Stadium,Tennis Stadium
51,Arts & Entertainment,Stadium,Track Stadium
52,Arts & Entertainment,Theme Park,Theme Park Ride / Attraction
53,Arts & Entertainment,Tour Provider,
54,Arts & Entertainment,Water Park,
55,Arts & Entertainment,Zoo,Zoo Exhibit
56,College & University,College Academic Building,College Arts Building
57,College & University,College Academic Building,College Communications Building
58,College & University,College Academic Building,College Engineering Building
59,College & University,College Academic Building,College History Building
60,College & University,College Academic Building,College Math Building
61,College & University,College Academic Building,College Science Building
62,College & University,College Academic Building,College Technology Building
63,College & University,College Administrative Building,
64,College & University,College Auditorium,
65,College & University,College Bookstore,
66,College & University,College Cafeteria,
67,College & University,College Classroom,
68,College & University,College Gym,
69,College & University,College Lab,
70,College & University,College Library,
71,College & University,College Quad,
72,College & University,College Rec Center,
73,College & University,College Residence Hall,
74,College & University,College Stadium,College Baseball Diamond
75,College & University,College Stadium,College Basketball Court
76,College & University,College Stadium,College Cricket Pitch
77,College & University,College Stadium,College Football Field
78,College & University,College Stadium,College Hockey Rink
79,College & University,College Stadium,College Soccer Field
80,College & University,College Stadium,College Tennis Court
81,College & University,College Stadium,College Track
82,College & University,College Theater,
83,College & University,Community College,
84,College & University,Fraternity House,
85,College & University,General College & University,
86,College & University,Law School,
87,College & University,Medical School,
88,College & University,Sorority House,
89,College & University,Student Center,
90,College & University,Trade School,
91,College & University,University,
92,Event,Christmas Market,
93,Event,Conference,
94,Event,Convention,
95,Event,Festival,
96,Event,Line / Queue,
97,Event,Music Festival,
98,Event,Other Event,
99,Event,Parade,
100,Event,Sporting Event,
101,Event,Stoop Sale,
102,Event,Street Fair,
103,Event,Trade Fair,
104,Food,Afghan Restaurant,
105,Food,African Restaurant,Ethiopian Restaurant
106,Food,American Restaurant,New American Restaurant
107,Food,Asian Restaurant,Burmese Restaurant
108,Food,Asian Restaurant,Cambodian Restaurant
109,Food,Asian Restaurant,Chinese Restaurant
110,Food,Asian Restaurant,Filipino Restaurant
111,Food,Asian Restaurant,Himalayan Restaurant
112,Food,Asian Restaurant,Hotpot Restaurant
113,Food,Asian Restaurant,Indonesian Restaurant
114,Food,Asian Restaurant,Japanese Restaurant
115,Food,Asian Restaurant,Korean Restaurant
116,Food,Asian Restaurant,Malay Restaurant
117,Food,Asian Restaurant,Mongolian Restaurant
118,Food,Asian Restaurant,Noodle House
119,Food,Asian Restaurant,Satay Restaurant
120,Food,Asian Restaurant,Thai Restaurant
121,Food,Asian Restaurant,Tibetan Restaurant
122,Food,Asian Restaurant,Vietnamese Restaurant
123,Food,Australian Restaurant,
124,Food,Austrian Restaurant,
125,Food,BBQ Joint,
126,Food,Bagel Shop,
127,Food,Bakery,
128,Food,Bangladeshi Restaurant,
129,Food,Belgian Restaurant,
130,Food,Bistro,
131,Food,Breakfast Spot,
132,Food,Bubble Tea Shop,
133,Food,Buffet,
134,Food,Burger Joint,
135,Food,Cafeteria,
136,Food,Café,
137,Food,Cajun / Creole Restaurant,
138,Food,Caribbean Restaurant,Cuban Restaurant
139,Food,Caucasian Restaurant,
140,Food,Coffee Shop,
141,Food,Comfort Food Restaurant,
142,Food,Creperie,
143,Food,Czech Restaurant,
144,Food,Deli / Bodega,
145,Food,Dessert Shop,Cupcake Shop
146,Food,Dessert Shop,Frozen Yogurt Shop
147,Food,Dessert Shop,Ice Cream Shop
148,Food,Dessert Shop,Pastry Shop
149,Food,Dessert Shop,Pie Shop
150,Food,Diner,
151,Food,Donut Shop,
152,Food,Dumpling Restaurant,
153,Food,Dutch Restaurant,
154,Food,Eastern European Restaurant,Belarusian Restaurant
155,Food,Eastern European Restaurant,Bosnian Restaurant
156,Food,Eastern European Restaurant,Bulgarian Restaurant
157,Food,Eastern European Restaurant,Romanian Restaurant
158,Food,Eastern European Restaurant,Tatar Restaurant
159,Food,English Restaurant,
160,Food,Falafel Restaurant,
161,Food,Fast Food Restaurant,
162,Food,Fish & Chips Shop,
163,Food,Fondue Restaurant,
164,Food,Food Court,
165,Food,Food Stand,
166,Food,Food Truck,
167,Food,French Restaurant,Alsatian Restaurant
168,Food,French Restaurant,Auvergne Restaurant
169,Food,French Restaurant,Basque Restaurant
170,Food,French Restaurant,Brasserie
171,Food,French Restaurant,Breton Restaurant
172,Food,French Restaurant,Burgundian Restaurant
173,Food,French Restaurant,Catalan Restaurant
174,Food,French Restaurant,Ch'ti Restaurant
175,Food,French Restaurant,Corsican Restaurant
176,Food,French Restaurant,Estaminet
177,Food,French Restaurant,Labour Canteen
178,Food,French Restaurant,Lyonese Bouchon
179,Food,French Restaurant,Norman Restaurant
180,Food,French Restaurant,Provençal Restaurant
181,Food,French Restaurant,Savoyard Restaurant
182,Food,French Restaurant,Southwestern French Restaurant
183,Food,Fried Chicken Joint,
184,Food,Friterie,
185,Food,Gastropub,
186,Food,German Restaurant,Apple Wine Pub
187,Food,German Restaurant,Bavarian Restaurant
188,Food,German Restaurant,Bratwurst Joint
189,Food,German Restaurant,Currywurst Joint
190,Food,German Restaurant,Franconian Restaurant
191,Food,German Restaurant,German Pop-Up Restaurant
192,Food,German Restaurant,Palatine Restaurant
193,Food,German Restaurant,Rhenisch Restaurant
194,Food,German Restaurant,Schnitzel Restaurant
195,Food,German Restaurant,Silesian Restaurant
196,Food,German Restaurant,Swabian Restaurant
197,Food,Gluten-free Restaurant,
198,Food,Greek Restaurant,Bougatsa Shop
199,Food,Greek Restaurant,Cretan Restaurant
200,Food,Greek Restaurant,Fish Taverna
201,Food,Greek Restaurant,Grilled Meat Restaurant
202,Food,Greek Restaurant,Kafenio
203,Food,Greek Restaurant,Magirio
204,Food,Greek Restaurant,Meze Restaurant
205,Food,Greek Restaurant,Modern Greek Restaurant
206,Food,Greek Restaurant,Ouzeri
207,Food,Greek Restaurant,Patsa Restaurant
208,Food,Greek Restaurant,Souvlaki Shop
209,Food,Greek Restaurant,Taverna
210,Food,Greek Restaurant,Tsipouro Restaurant
211,Food,Halal Restaurant,
212,Food,Hawaiian Restaurant,Poke Place
213,Food,Hot Dog Joint,
214,Food,Hungarian Restaurant,
215,Food,Indian Restaurant,Andhra Restaurant
216,Food,Indian Restaurant,Awadhi Restaurant
217,Food,Indian Restaurant,Bengali Restaurant
218,Food,Indian Restaurant,Chaat Place
219,Food,Indian Restaurant,Chettinad Restaurant
220,Food,Indian Restaurant,Dhaba
221,Food,Indian Restaurant,Dosa Place
222,Food,Indian Restaurant,Goan Restaurant
223,Food,Indian Restaurant,Gujarati Restaurant
224,Food,Indian Restaurant,Hyderabadi Restaurant
225,Food,Indian Restaurant,Indian Chinese Restaurant
226,Food,Indian Restaurant,Indian Sweet Shop
227,Food,Indian Restaurant,Irani Cafe
228,Food,Indian Restaurant,Jain Restaurant
229,Food,Indian Restaurant,Karnataka Restaurant
230,Food,Indian Restaurant,Kerala Restaurant
231,Food,Indian Restaurant,Maharashtrian Restaurant
232,Food,Indian Restaurant,Mughlai Restaurant
233,Food,Indian Restaurant,Multicuisine Indian Restaurant
234,Food,Indian Restaurant,North Indian Restaurant
235,Food,Indian Restaurant,Northeast Indian Restaurant
236,Food,Indian Restaurant,Parsi Restaurant
237,Food,Indian Restaurant,Punjabi Restaurant
238,Food,Indian Restaurant,Rajasthani Restaurant
239,Food,Indian Restaurant,South Indian Restaurant
240,Food,Indian Restaurant,Udupi Restaurant
241,Food,Irish Pub,
242,Food,Italian Restaurant,Abruzzo Restaurant
243,Food,Italian Restaurant,Agriturismo
244,Food,Italian Restaurant,Aosta Restaurant
245,Food,Italian Restaurant,Basilicata Restaurant
246,Food,Italian Restaurant,Calabria Restaurant
247,Food,Italian Restaurant,Campanian Restaurant
248,Food,Italian Restaurant,Emilia Restaurant
249,Food,Italian Restaurant,Friuli Restaurant
250,Food,Italian Restaurant,Ligurian Restaurant
251,Food,Italian Restaurant,Lombard Restaurant
252,Food,Italian Restaurant,Malga
253,Food,Italian Restaurant,Marche Restaurant
254,Food,Italian Restaurant,Molise Restaurant
255,Food,Italian Restaurant,Piadineria
256,Food,Italian Restaurant,Piedmontese Restaurant
257,Food,Italian Restaurant,Puglia Restaurant
258,Food,Italian Restaurant,Romagna Restaurant
259,Food,Italian Restaurant,Roman Restaurant
260,Food,Italian Restaurant,Sardinian Restaurant
261,Food,Italian Restaurant,Sicilian Restaurant
262,Food,Italian Restaurant,South Tyrolean Restaurant
263,Food,Italian Restaurant,Trattoria/Osteria
264,Food,Italian Restaurant,Trentino Restaurant
265,Food,Italian Restaurant,Tuscan Restaurant
266,Food,Italian Restaurant,Umbrian Restaurant
267,Food,Italian Restaurant,Veneto Restaurant
268,Food,Jewish Restaurant,Kosher Restaurant
269,Food,Juice Bar,
270,Food,Kebab Restaurant,
271,Food,Latin American Restaurant,Arepa Restaurant
272,Food,Latin American Restaurant,Empanada Restaurant
273,Food,Latin American Restaurant,Salvadoran Restaurant
274,Food,Latin American Restaurant,South American Restaurant
275,Food,Mac & Cheese Joint,
276,Food,Mediterranean Restaurant,Moroccan Restaurant
277,Food,Mexican Restaurant,Botanero
278,Food,Mexican Restaurant,Burrito Place
279,Food,Mexican Restaurant,Taco Place
280,Food,Mexican Restaurant,Tex-Mex Restaurant
281,Food,Mexican Restaurant,Yucatecan Restaurant
282,Food,Middle Eastern Restaurant,Egyptian Restaurant
283,Food,Middle Eastern Restaurant,Iraqi Restaurant
284,Food,Middle Eastern Restaurant,Israeli Restaurant
285,Food,Middle Eastern Restaurant,Kurdish Restaurant
286,Food,Middle Eastern Restaurant,Lebanese Restaurant
287,Food,Middle Eastern Restaurant,Persian Restaurant
288,Food,Middle Eastern Restaurant,Shawarma Place
289,Food,Middle Eastern Restaurant,Syrian Restaurant
290,Food,Middle Eastern Restaurant,Yemeni Restaurant
291,Food,Modern European Restaurant,
292,Food,Molecular Gastronomy Restaurant,
293,Food,Pakistani Restaurant,
294,Food,Pet Café,
295,Food,Pizza Place,
296,Food,Polish Restaurant,
297,Food,Portuguese Restaurant,
298,Food,Poutine Place,
299,Food,Restaurant,
300,Food,Russian Restaurant,Blini House
301,Food,Russian Restaurant,Pelmeni House
302,Food,Salad Place,
303,Food,Sandwich Place,
304,Food,Scandinavian Restaurant,
305,Food,Scottish Restaurant,
306,Food,Seafood Restaurant,
307,Food,Slovak Restaurant,
308,Food,Snack Place,
309,Food,Soup Place,
310,Food,Southern / Soul Food Restaurant,
311,Food,Spanish Restaurant,Paella Restaurant
312,Food,Spanish Restaurant,Tapas Restaurant
313,Food,Sri Lankan Restaurant,
314,Food,Steakhouse,
315,Food,Swiss Restaurant,
316,Food,Tea Room,
317,Food,Theme Restaurant,
318,Food,Truck Stop,
319,Food,Turkish Restaurant,Borek Place
320,Food,Turkish Restaurant,Cigkofte Place
321,Food,Turkish Restaurant,Doner Restaurant
322,Food,Turkish Restaurant,Gozleme Place
323,Food,Turkish Restaurant,Kofte Place
324,Food,Turkish Restaurant,Kokoreç Restaurant
325,Food,Turkish Restaurant,Kumpir Restaurant
326,Food,Turkish Restaurant,Kumru Restaurant
327,Food,Turkish Restaurant,Manti Place
328,Food,Turkish Restaurant,Meyhane
329,Food,Turkish Restaurant,Pide Place
330,Food,Turkish Restaurant,Pilavcı
331,Food,Turkish Restaurant,Söğüş Place
332,Food,Turkish Restaurant,Tantuni Restaurant
333,Food,Turkish Restaurant,Turkish Coffeehouse
334,Food,Turkish Restaurant,Turkish Home Cooking Restaurant
335,Food,Turkish Restaurant,Çöp Şiş Place
336,Food,Ukrainian Restaurant,Varenyky restaurant
337,Food,Ukrainian Restaurant,West-Ukrainian Restaurant
338,Food,Vegetarian / Vegan Restaurant,
339,Food,Wings Joint,
340,Nightlife Spot,Bar,Beach Bar
341,Nightlife Spot,Bar,Beer Bar
342,Nightlife Spot,Bar,Beer Garden
343,Nightlife Spot,Bar,Champagne Bar
344,Nightlife Spot,Bar,Cocktail Bar
345,Nightlife Spot,Bar,Dive Bar
346,Nightlife Spot,Bar,Gay Bar
347,Nightlife Spot,Bar,Hookah Bar
348,Nightlife Spot,Bar,Hotel Bar
349,Nightlife Spot,Bar,Karaoke Bar
350,Nightlife Spot,Bar,Pub
351,Nightlife Spot,Bar,Sake Bar
352,Nightlife Spot,Bar,Speakeasy
353,Nightlife Spot,Bar,Sports Bar
354,Nightlife Spot,Bar,Tiki Bar
355,Nightlife Spot,Bar,Whisky Bar
356,Nightlife Spot,Bar,Wine Bar
357,Nightlife Spot,Brewery,
358,Nightlife Spot,Lounge,
359,Nightlife Spot,Night Market,
360,Nightlife Spot,Nightclub,
361,Nightlife Spot,Other Nightlife,
362,Nightlife Spot,Strip Club,
363,Outdoors & Recreation,Athletics & Sports,Badminton Court
364,Outdoors & Recreation,Athletics & Sports,Baseball Field
365,Outdoors & Recreation,Athletics & Sports,Basketball Court
366,Outdoors & Recreation,Athletics & Sports,Bowling Green
367,Outdoors & Recreation,Athletics & Sports,Curling Ice
368,Outdoors & Recreation,Athletics & Sports,Golf Course
369,Outdoors & Recreation,Athletics & Sports,Golf Driving Range
370,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center
371,Outdoors & Recreation,Athletics & Sports,Hockey Field
372,Outdoors & Recreation,Athletics & Sports,Hockey Rink
373,Outdoors & Recreation,Athletics & Sports,Paintball Field
374,Outdoors & Recreation,Athletics & Sports,Rugby Pitch
375,Outdoors & Recreation,Athletics & Sports,Skate Park
376,Outdoors & Recreation,Athletics & Sports,Skating Rink
377,Outdoors & Recreation,Athletics & Sports,Soccer Field
378,Outdoors & Recreation,Athletics & Sports,Sports Club
379,Outdoors & Recreation,Athletics & Sports,Squash Court
380,Outdoors & Recreation,Athletics & Sports,Tennis Court
381,Outdoors & Recreation,Athletics & Sports,Volleyball Court
382,Outdoors & Recreation,Bathing Area,
383,Outdoors & Recreation,Bay,
384,Outdoors & Recreation,Beach,Nudist Beach
385,Outdoors & Recreation,Beach,Surf Spot
386,Outdoors & Recreation,Bike Trail,
387,Outdoors & Recreation,Botanical Garden,
388,Outdoors & Recreation,Bridge,
389,Outdoors & Recreation,Campground,
390,Outdoors & Recreation,Canal Lock,
